Temperature,Alpha,Strain4,,Temperature1,Alpha1,Strain1,Alpha2,Strain2,Alpha3,Strain3,1,Temp,rate by OD,monoculture,rate,2,3
28,#NUM!,W02,,,,,,,,,,,,,,,
28,#NUM!,W02,,,,,,,,,,,,,,,
28,#NUM!,W02,,,,,,,,,,,,,,,
12,2643085570,W03,,,,,,,,,,,,,,,
12,1726332370,W03,,,,,,,,,,,,,,,
12,1376926830,W03,,,,,,,,,,,,,,,
12,1251719660,W03,,,,,,,,,,,,,,,
12,2097648480,W03,,,,,,,,,,,,,,,
12,1500187550,W03,,,,,,,,,,,,,,,
15,-3817513300,W03,,,,,,,,,,,,,,,
15,-2021972080,W03,,,,,,,,,,,,,,,
15,-6291360390,W03,,,,,,,,,,,,,,,
15,92679800,W03,,,,,,,,,,,,,,,
15,-3158730890,W03,,,,,,,,,,,,,,,
15,-4060914370,W03,,,,,,,,,,,,,,,
18,-4546876990,W03,,,,,,,,,,,,,,,
18,648540600,W03,,,,,,,,,,,,,,,
18,-4617179090,W03,,,,,,,,,,,,,,,
18,-2686365920,W03,,,,,,,,,,,,,,,
18,-3207107900,W03,,,,,,,,,,,,,,,
18,-1624880550,W03,,,,,,,,,,,,,,,
22,-1574213230,W03,,,,,,,,,,,,,,,
22,-3057817110,W03,,,,,,,,,,,,,,,
22,-2429483690,W03,,,,,,,,,,,,,,,
22,-798887800,W03,,,,,,,,,,,,,,,
22,-3237735200,W03,,,,,,,,,,,,,,,
22,-2464841430,W03,,,,,,,,,,,,,,,
25,,W03,,,,,,,,,,,,,,,
25,#NUM!,W03,,,,,,,,,,,,,,,
25,#NUM!,W03,,,,,,,,,,,,,,,
25,#NUM!,W03,,,,,,,,,,,,,,,
25,#NUM!,W03,,,,,,,,,,,,,,,
25,#NUM!,W03,,,,,,,,,,,,,,,
28,#NUM!,W03,,,,,,,,,,,,,,,
28,#NUM!,W03,,,,,,,,,,,,,,,
28,#NUM!,W03,,,,,,,,,,,,,,,
28,#NUM!,W03,,,,,,,,,,,,,,,
28,#NUM!,W03,,,,,,,,,,,,,,,
28,#NUM!,W03,,,,,,,,,,,,,,,
